datetime,interval
2021-01-01 09:12:58,0.0
2021-01-01 09:47:31,2073.0
2021-01-01 09:47:31,0.0
2021-01-01 10:00:29,778.0
2021-01-01 10:00:29,0.0
2021-01-01 10:22:05,1296.0
2021-01-01 10:22:05,0.0
2021-01-01 11:13:55,3110.0
2021-01-01 11:13:55,0.0
2021-01-01 11:15:22,87.0
2021-01-01 11:15:22,0.0
2021-01-01 11:52:48,2246.0
2021-01-01 11:52:48,0.0
2021-01-01 11:55:41,173.0
2021-01-01 11:55:41,0.0
2021-01-01 11:57:07,86.0
2021-01-01 11:57:07,0.0
2021-01-01 12:01:26,259.0
2021-01-01 12:01:26,0.0
2021-01-01 12:02:53,87.0
2021-01-01 12:02:53,0.0
2021-01-01 12:02:53,0.0
2021-01-01 12:02:53,0.0
2021-01-01 12:30:14,1641.0
2021-01-01 12:30:14,0.0
2021-01-01 12:40:19,605.0
2021-01-01 12:40:19,0.0
2021-01-01 12:40:19,0.0
2021-01-01 12:40:19,0.0
2021-01-01 13:24:58,2679.0
2021-01-01 13:24:58,0.0
2021-01-01 13:33:36,518.0
2021-01-01 13:33:36,0.0
2021-01-01 13:42:14,518.0
2021-01-01 13:42:14,0.0
2021-01-01 13:42:14,0.0
2021-01-01 13:42:14,0.0
2021-01-01 14:38:24,3370.0
2021-01-01 14:38:24,0.0
2021-01-01 14:47:02,518.0
2021-01-01 14:47:02,0.0
2021-01-01 14:47:02,0.0
2021-01-01 14:47:02,0.0
2021-01-01 15:44:38,3456.0
2021-01-01 15:44:38,0.0
2021-01-01 17:13:55,5357.0
2021-01-01 17:13:55,0.0
2021-01-01 17:25:26,691.0
2021-01-01 17:25:26,0.0
2021-01-01 17:35:31,605.0
2021-01-01 17:35:31,0.0
2021-01-01 17:36:58,87.0
2021-01-01 17:36:58,0.0
2021-01-01 17:44:10,432.0
2021-01-01 17:44:10,0.0
2021-01-01 17:57:07,777.0
2021-01-01 17:57:07,0.0
2021-01-02 09:05:46,0.0
2021-01-02 09:18:43,777.0
2021-01-02 09:18:43,0.0
2021-01-02 09:20:10,87.0
2021-01-02 09:20:10,0.0
2021-01-02 09:38:53,1123.0
2021-01-02 09:38:53,0.0
2021-01-02 10:04:48,1555.0
2021-01-02 10:04:48,0.0
2021-01-02 10:33:36,1728.0
2021-01-02 10:33:36,0.0
2021-01-02 11:08:10,2074.0
2021-01-02 11:08:10,0.0
2021-01-02 11:26:53,1123.0
2021-01-02 11:26:53,0.0
2021-01-02 11:42:43,950.0
2021-01-02 11:42:43,0.0
2021-01-02 11:47:02,259.0
2021-01-02 11:47:02,0.0
2021-01-02 11:54:14,432.0
2021-01-02 11:54:14,0.0
2021-01-02 12:00:00,346.0
2021-01-02 12:00:00,0.0
2021-01-02 12:20:10,1210.0
2021-01-02 12:20:10,0.0
2021-01-02 12:41:46,1296.0
2021-01-02 12:41:46,0.0
2021-01-02 12:44:38,172.0
2021-01-02 12:44:38,0.0
2021-01-02 12:59:02,864.0
2021-01-02 12:59:02,0.0
2021-01-02 13:03:22,260.0
2021-01-02 13:03:22,0.0
2021-01-02 13:04:48,86.0
2021-01-02 13:04:48,0.0
2021-01-02 13:13:26,518.0
2021-01-02 13:13:26,0.0
2021-01-02 13:20:38,432.0
2021-01-02 13:20:38,0.0
2021-01-02 13:20:38,0.0
2021-01-02 13:20:38,0.0
2021-01-02 13:45:07,1469.0
2021-01-02 13:45:07,0.0
2021-01-02 13:49:26,259.0
2021-01-02 13:49:26,0.0
2021-01-02 13:53:46,260.0
2021-01-02 13:53:46,0.0
2021-01-02 14:22:34,1728.0
2021-01-02 14:22:34,0.0
2021-01-02 14:52:48,1814.0
2021-01-02 14:52:48,0.0
2021-01-02 15:10:05,1037.0
2021-01-02 15:10:05,0.0
2021-01-02 15:36:00,1555.0
2021-01-02 15:36:00,0.0
2021-01-02 17:36:58,7258.0
2021-01-02 17:36:58,0.0
2021-01-02 17:47:02,604.0
2021-01-02 17:47:02,0.0
2021-01-03 09:10:05,0.0
2021-01-03 09:47:31,2246.0
2021-01-03 09:47:31,0.0
2021-01-03 10:29:17,2506.0
2021-01-03 10:29:17,0.0
2021-01-03 10:37:55,518.0
2021-01-03 10:37:55,0.0
2021-01-03 10:52:19,864.0
2021-01-03 10:52:19,0.0
2021-01-03 10:52:19,0.0
2021-01-03 10:52:19,0.0
2021-01-03 10:58:05,346.0
2021-01-03 10:58:05,0.0
2021-01-03 11:02:24,259.0
2021-01-03 11:02:24,0.0
2021-01-03 11:03:50,86.0
2021-01-03 11:03:50,0.0
2021-01-03 11:06:43,173.0
2021-01-03 11:06:43,0.0
2021-01-03 11:16:48,605.0
2021-01-03 11:16:48,0.0
2021-01-03 11:26:53,605.0
